"Route","Url","Requests","Success","Errors","StatusCodes","AvgMs","MinMs","MaxMs","Result"
"User main page","http://localhost:8000/","50","50","0","200","107,72","88","168","NFT-1 passed"
"Public index","http://localhost:8000/index.php","50","50","0","200","34,14","28","54","NFT-1 passed"
"VK config","http://localhost:8000/auth/vk/config","50","50","0","200","48,46","38","67","NFT-1 passed"
"Address suggest street","http://localhost:8000/address/suggest","50","0","50","404","24,86","15","76","NFT-1 passed"
"Address suggest SNT","http://localhost:8000/address/suggest","50","0","50","404","23,8","15","41","NFT-1 passed"
"Check wrong SMS code","http://localhost:8000/auth/check-code","50","0","50","422","43,92","23","52","NFT-1 passed"
"Vote without session","http://localhost:8000/vote","50","0","50","404","23,5","15","39","NFT-1 passed"
"Candidates public page","http://localhost:8000/candidate.php","50","0","50","404","24,02","15","41","NFT-1 passed"
"Candidate page","http://localhost:8000/candidates.php","50","0","50","404","24,68","15","32","NFT-1 passed"
